SOC,sand,silt,clay,BD,FC,FC_33,PWP
1.0,-0.302549866993588,0.17956487448561592,0.559*,-0.1849632990140656,0.318*,0.344*,0.466*
-0.302549866993588,1.0,-0.972*,-0.707*,-0.18680156736308498,-0.673*,-0.689*,-0.363*
0.17956487448561592,-0.972*,1.0,0.521*,0.1615104930194098,0.620*,0.626*,0.2724402064710192
0.559*,-0.707*,0.521*,1.0,0.19248736623609033,0.577*,0.619*,0.500*
-0.1849632990140656,-0.18680156736308498,0.1615104930194098,0.19248736623609033,1.0,0.400*,0.378*,0.11469341789328297
0.318*,-0.673*,0.620*,0.577*,0.400*,1.0,0.968*,0.561*
0.344*,-0.689*,0.626*,0.619*,0.378*,0.968*,1.0,0.546*
0.466*,-0.363*,0.2724402064710192,0.500*,0.11469341789328297,0.561*,0.546*,1.0
